id,name,glass,base_spirit,abv,tags,contains,sweet,bitter,sour,boozy,fizzy,description,recipe,zero_proof_swap,image_key
1,Margarita,coupe,tequila,18,sour|citrus|classic|salty|bright,citrus,4,1,7,6,2,"Bright, tart, and salty with a clean tequila backbone.","Tequila, lime juice, orange liqueur, simple syrup; shake with ice; salt rim optional.",Zero-proof tequila (or omit) + lime + orange syrup; shake; salt rim.,margarita
2,Tommy's Margarita,coupe,tequila,17,sour|citrus|agave|classic|bright,citrus,4,1,7,6,2,A cleaner margarita that lets agave and tequila shine.,"Tequila, lime juice, agave syrup; shake with ice; serve over fresh ice.",Agave + lime + sparkling water; pinch of salt; shake then top.,margarita
3,Paloma,highball,tequila,10,fizzy|citrus|refreshing|light|grapefruit,citrus,4,1,5,4,8,Bubbly grapefruit-citrus refresher that’s easy to sip.,"Tequila, grapefruit soda, lime wedge; build over ice; pinch of salt optional.",Grapefruit soda + lime + pinch of salt; build over ice.,paloma
4,Mojito,highball,rum,10,fizzy|mint|refreshing|citrus|summer,citrus,5,1,4,3,8,"Minty, limey, and sparkling—cooling and crowd-pleasing.","White rum, lime, mint, sugar; muddle; top with soda; build over ice.","Mint, lime, sugar; top with soda; build over ice.",mojito
5,Daiquiri,coupe,rum,17,sour|citrus|classic|crisp,citrus,3,0,7,6,0,"Simple and crisp—rum, lime, and sugar in perfect balance.","White rum, lime juice, simple syrup; shake; strain into coupe.",Lime + simple; shake; strain; optional few drops rum extract.,daiquiri
6,Caipirinha,rocks,cachaça,20,sour|citrus|tropical|bold,citrus,4,1,6,7,0,Rustic and punchy with muddled lime and cane spirit.,"Cachaça, lime wedges, sugar; muddle; add ice; stir.",Muddle lime + sugar; top with soda; stir.,caipirinha
7,Piña Colada,highball,rum,12,creamy|tropical|sweet|dessert,dairy,8,0,2,4,0,Creamy tropical dessert in a glass.,"Rum, coconut cream, pineapple juice; blend or shake with ice.",Coconut cream + pineapple + ice; blend; optional coconut water splash.,pina_colada
8,Mai Tai,rocks,rum,18,tropical|citrus|nutty|classic,citrus|nut,5,1,5,7,0,Tropical but structured—rum with citrus and orgeat richness.,"Aged rum, lime, orange liqueur, orgeat; shake; serve over crushed ice.",Pineapple + lime + orgeat + orange syrup; build over crushed ice.,mai_tai
9,Painkiller,highball,rum,12,tropical|creamy|spiced|sweet,dairy,7,0,2,4,0,"Tropical and cozy with pineapple, orange, and spice.","Rum, pineapple juice, orange juice, coconut cream; shake; nutmeg on top.",Pineapple + orange + coconut cream; shake; nutmeg.,painkiller
10,Rum Punch,highball,rum,12,tropical|fruity|party|sweet,citrus,6,0,4,4,2,"Fruity, easy, and festive—great for groups.","Rum, orange juice, pineapple juice, lime, grenadine; build over ice.",Orange + pineapple + lime + grenadine; top with soda if desired.,rum_punch
11,Old Fashioned,rocks,whiskey,28,spirit_forward|classic|bitter|warm,,2,5,0,10,0,Spirit-forward and timeless with bitters and a hint of sweetness.,"Whiskey, sugar, bitters; stir with ice; orange peel.",Non-alcoholic whiskey (or strong black tea) + bitters-style spice syrup; stir.,old_fashioned
12,Manhattan,coupe,whiskey,27,spirit_forward|classic|bitter|rich,,2,6,0,10,0,Rich and elegant with bittersweet depth.,"Rye whiskey, sweet vermouth, bitters; stir; strain; cherry.",Black tea + spiced cherry syrup + alcohol-free vermouth; stir.,manhattan
13,Whiskey Sour,rocks,whiskey,16,sour|citrus|classic|foamy,citrus|egg,5,1,6,6,0,Tart and silky—often with a foamy top.,"Whiskey, lemon, simple syrup, egg white (optional); shake; serve on ice.",Lemon + simple + aquafaba; shake hard; serve on ice.,whiskey_sour
14,Amaretto Sour,rocks,liqueur,14,sour|nutty|sweet|comfort,citrus|nut|egg,7,1,5,4,0,Sweet-nutty with lemon brightness and a smooth texture.,"Amaretto, lemon, simple syrup; egg white optional; shake; serve on ice.",Almond syrup + lemon + aquafaba; shake; serve on ice.,amaretto_sour
15,Boulevardier,rocks,whiskey,24,spirit_forward|bitter|rich|classic,,2,8,0,10,0,"Deep, bitter, and warming—like a whiskey Negroni.","Bourbon, Campari, sweet vermouth; stir; orange peel.",Bitter orange soda + alcohol-free vermouth + spice syrup; stir over ice.,boulevardier
16,Paper Plane,coupe,whiskey,17,citrus|bitter|modern|balanced,citrus,4,4,5,6,0,Bright and balanced with a bittersweet finish.,"Bourbon, Aperol, amaro, lemon; shake; strain.",Lemon + bitter orange syrup + herbal tea concentrate; shake.,paper_plane
17,Sazerac,rocks,whiskey,28,spirit_forward|anise|classic|bold,,1,6,0,10,0,Bold and aromatic with anise and bitters.,"Rye, sugar, Peychaud’s bitters; rinse glass with absinthe; stir; lemon peel.",Spice tea + anise syrup + bitters-style syrup; stir; lemon peel.,sazerac
18,Hot Toddy,mug,whiskey,12,warm|cozy|citrus|spiced,citrus,5,1,3,4,0,"Warm, soothing, and lightly sweet.","Whiskey, hot water, honey, lemon; stir; cinnamon optional.",Hot water + honey + lemon + ginger tea; stir.,hot_toddy
19,Irish Coffee,mug,whiskey,12,warm|coffee|creamy|dessert,dairy,7,1,1,4,0,"Coffee-forward with a sweet, creamy finish.","Hot coffee, Irish whiskey, sugar; top with lightly whipped cream.",Hot coffee + brown sugar + whipped cream (or oat cream).,irish_coffee
20,Gin & Tonic,highball,gin,10,fizzy|refreshing|bitter|simple,,2,4,1,4,9,"Crisp, bitter, and refreshing—an easy classic.","Gin, tonic water, lime; build over ice.",Tonic water + lime + juniper/rosemary syrup; build over ice.,gin_tonic
21,Tom Collins,highball,gin,10,fizzy|citrus|refreshing|classic,citrus,4,1,5,4,9,Sparkling lemony gin refresher.,"Gin, lemon, simple syrup; top with soda; build over ice.",Lemon + simple; top with soda; build over ice.,tom_collins
22,Gimlet,coupe,gin,18,sour|citrus|classic|crisp,citrus,3,0,6,6,0,Clean and lime-forward with a sharp finish.,"Gin, lime, simple syrup; shake; strain.",Lime + simple + cucumber water; shake; strain.,gimlet
23,Bee's Knees,coupe,gin,17,citrus|honey|bright|classic,citrus,5,0,5,6,0,Honeyed citrus with a floral gin note.,"Gin, lemon, honey syrup; shake; strain.",Lemon + honey syrup + soda; shake then top.,bees_knees
24,Aviation,coupe,gin,18,floral|citrus|classic|light,citrus,4,1,4,6,0,"Delicate, floral, and slightly tart.","Gin, lemon, maraschino liqueur, crème de violette (optional); shake.",Lemon + floral syrup + cherry syrup; shake; strain.,aviation
25,Negroni,rocks,gin,24,bitter|spirit_forward|classic|herbal,,2,9,0,10,0,"Bitter, herbal, and iconic.","Gin, Campari, sweet vermouth; stir; orange peel.",Bitter orange soda + alcohol-free vermouth + botanical syrup; stir.,negroni
26,Americano,highball,liqueur,9,fizzy|bitter|light|aperitif,,2,7,0,2,9,"Low-ABV, bubbly, and pleasantly bitter.","Campari, sweet vermouth, soda; build over ice; orange slice.",Bitter soda + alcohol-free vermouth; build over ice.,americano
27,Martini,coupe,gin,30,spirit_forward|classic|dry|clean,,0,5,0,10,0,Very dry and clean—minimalist and sharp.,"Gin, dry vermouth; stir; strain; olive or lemon twist.",Chilled botanical tea + alcohol-free vermouth; strain; olive.,martini
28,Vesper,coupe,gin,30,spirit_forward|citrus|classic|dry,citrus,1,4,0,10,0,"Bright, strong, and very crisp.","Gin, vodka, Lillet; stir; lemon twist.",Citrus tea concentrate + alcohol-free aperitif; stir; lemon twist.,vesper
29,French 75,flute,gin,12,fizzy|citrus|sparkling|celebratory,citrus,5,1,4,4,9,"Sparkling, lemony, and celebratory.","Gin, lemon, simple syrup; top with sparkling wine.",Lemon + simple; top with sparkling water or NA bubbly.,french_75
30,Aperol Spritz,wine_glass,liqueur,9,fizzy|bitter|light|aperitif,,4,5,1,2,10,"Bright orange, bubbly, and gently bitter.","Aperol, prosecco, soda; build over ice; orange slice.",Bitter orange soda + NA bubbly; build over ice.,aperol_spritz
31,Hugo Spritz,wine_glass,liqueur,7,fizzy|floral|mint|light,,5,1,2,1,10,Floral and minty with a sparkling finish.,"Elderflower liqueur, prosecco, soda, mint, lime; build over ice.","Elderflower syrup, soda, mint, lime; build over ice.",hugo_spritz
32,Moscow Mule,mug,vodka,12,fizzy|ginger|citrus|refreshing,citrus,4,1,4,4,9,Spicy ginger and lime with crisp bite.,"Vodka, ginger beer, lime; build over ice.",Ginger beer + lime; build over ice.,moscow_mule
33,Dark 'n' Stormy,highball,rum,12,fizzy|ginger|spiced|bold,,4,1,2,4,9,Spicy ginger with deep molasses notes.,"Dark rum, ginger beer, lime optional; build over ice.",Ginger beer + lime + molasses syrup; build over ice.,dark_n_stormy
